职位,公司,地址,薪酬,标签
Java高级工程师/研发经理,深圳市腾达智慧信息技术有限公司,深圳-龙岗区,1.3-2万/月,"['5-7年经验', '大专', '招1人', '07-16发布', '五险一金', '交通补贴', '餐饮补贴', '绩效奖金', '年终奖金', '通讯补贴']"
JAVA高级工程师(基于大数据方向),北京金电恒通科技有限公司,北京-大兴区,1.5-2万/月,"['3-4年经验', '本科', '招若干人', '07-16发布', '五险一金', '餐饮补贴', '绩效奖金', '年终奖金', '交通补贴', '通讯补贴', '弹性工作', '定期体检', '员工旅游']"
Java开发工程师,方欣科技有限公司福建分公司,福州-鼓楼区,0.6-1万/月,"['无工作经验', '招2人', '07-16发布', '五险一金', '通讯补贴']"
Java开发工程师,湖南用友软件有限公司,长沙-天心区,6-8千/月,"['无工作经验', '大专', '招2人', '07-16发布', '五险一金', '交通补贴', '绩效奖金', '餐饮补贴', '通讯补贴', '专业培训', '定期体检']"
Java开发工程师,南京优泰科技发展有限公司,南京,0.8-1.2万/月,"['1年经验', '本科', '招2人', '07-16发布']"
Java开发工程师（初中级）,广州市卓为信息技术有限公司,广州-天河区,0.8-1.3万/月,"['1年经验', '大专', '招5人', '07-16发布', '五险一金', '定期体检', '餐饮补贴', '员工旅游', '绩效奖金', '年终奖金']"
物联网实验室-Java高级工程师,北京思特奇信息技术股份有限公司,北京-海淀区,2-2.5万/月,"['3-4年经验', '本科', '招1人', '07-16发布', '五险一金', '补充医疗保险', '员工旅游', '交通补贴', '餐饮补贴', '通讯补贴', '专业培训', '绩效奖金', '弹性工作', '定期体检']"
Java高级开发工程师,二六三网络通信股份有限公司,北京,1.7-2.2万/月,"['5-7年经验', '大专', '招1人', '07-16发布', '五险一金', '餐饮补贴', '专业培训', '年终奖金', '弹性工作', '定期体检']"
Java高级开发工程师,湖北会基网络科技有限公司,武汉-江夏区,0.8-1.5万/月,"['3-4年经验', '本科', '招2人', '07-16发布']"
Java高级开发工程师,广东碧桂园资产管理有限公司,佛山-顺德区,2-2.5万/月,"['5-7年经验', '本科', '招若干人', '07-16发布']"
JAVA工程师,重庆移动金融有限责任公司,重庆-渝中区,0.8-1.2万/月,"['无工作经验', '本科', '招1人', '07-16发布', '五险一金', '餐饮补贴', '定期体检']"
Java前端开发工程师,北京城建智控科技有限公司,北京-丰台区,1.2-2万/月,"['2年经验', '本科', '招3人', '07-16发布', '专业培训']"
