职位,公司,地址,薪酬,标签
Java开发工程师,河南信安通信技术股份有限公司,郑州,4-6千/月,"['2年经验', '本科', '招1人', '07-14发布', '五险一金', '员工旅游', '交通补贴', '餐饮补贴', '通讯补贴', '绩效奖金', '年终奖金', '定期体检']"
JAVA软件工程师（急招）,北京创思恒通科技有限公司,北京,0.6-1.5万/月,"['1年经验', '本科', '招4人', '07-14发布', '五险一金', '餐饮补贴', '专业培训', '绩效奖金', '年终奖金', '半年加薪']"
java工程师（互联网政务）,广州华资软件技术有限公司,广州,0.8-1.5万/月,"['1年经验', '招5人', '07-14发布', '五险一金', '补充医疗保险', '员工旅游', '年终奖金', '绩效奖金', '专业培训', '定期体检', '节日礼金', '14薪+']"
Java高级开发工程师,嘀嘀智慧城市运营管理（天津）有限...,天津-河西区,1-1.5万/月,"['3-4年经验', '本科', '招2人', '07-14发布', '五险一金', '交通补贴', '年终奖金']"
Java开发工程师（3年以上经验）,上海金指软件技术有限公司,上海-浦东新区,1.2-1.8万/月,"['3-4年经验', '本科', '招10人', '07-14发布', '五险一金', '餐饮补贴', '交通补贴', '员工旅游', '免费班车', '专业培训', '通讯补贴', '定期体检', '年终奖金', '绩效奖金']"
Java工程师实训生,青岛迈科思软件有限责任公司,异地招聘,3-4.5千/月,"['无工作经验', '大专', '招5人', '07-14发布', '带薪年假', '五险一金', '专业培训', '通讯补贴', '餐饮补贴', '全勤奖', '绩效奖金']"
Java高级开发工程师,河南省中教网盟科技有限公司,郑州-高新区,0.8-1万/月,"['5-7年经验', '大专', '招2人', '07-14发布', '带薪年假', '五险一金', '全勤奖', '节日福利', '餐饮补贴', '住房补贴', '员工旅游', '每年多次调薪']"
高级JAVA软件工程师,上海艺赛旗软件股份有限公司,南京-雨花台区,1-1.5万/月,"['3-4年经验', '大专', '招5人', '07-14发布', '股票期权', '五险一金', '员工旅游', '交通补贴', '餐饮补贴', '通讯补贴', '绩效奖金', '年终奖金', '定期体检', '专业培训']"
Java高级培训师/讲师,武汉尚云客网络技术有限公司,武汉-洪山区,1.2-1.6万/月,"['3-4年经验', '本科', '招2人', '07-14发布', '做五休二', '弹性工作', '带薪年假', '五险一金', '专业培训', '节日福利', '绩效奖金', '通讯补贴', '交通补贴', '餐饮补贴']"
Java中级开发工程师,易批生鲜信息发展股份有限公司,上海-普陀区,1.5-2万/月,"['3-4年经验', '大专', '招1人', '07-14发布', '五险一金', '餐饮补贴', '定期体检', '交通补贴', '通讯补贴', '年终奖金', '绩效奖金', '员工旅游']"
Java开发工程师(合肥）,浙江网新恒天软件有限公司,合肥-高新区,0.7-1.4万/月,"['3-4年经验', '本科', '招1人', '07-14发布', '五险一金', '交通补贴', '餐饮补贴', '弹性工作', '年终奖金']"
Java后台开发工程师,上海轻轻信息科技有限公司,上海-徐汇区,1.5-2.5万/月,"['3-4年经验', '本科', '招若干人', '07-14发布', '五险一金', '补充医疗保险', '弹性工作', '定期体检']"
Java软件开发实习生+五险一金,湖北国兴宏图体育场馆规划设计有限...,武汉-武昌区,4-6千/月,"['无工作经验', '大专', '招5人', '07-14发布']"
Java高级工程师,环球名车汽车服务湖北股份有限公司,武汉,8-9千/月,"['无工作经验', '本科', '招3人', '07-14发布']"
Java高级开发工程师（智能机器人方向）,广州步云信息科技有限公司,广州-番禺区,1-1.5万/月,"['无工作经验', '招5人', '07-14发布']"
java后端高级开发工程师,途鸟科技（上海）有限公司,异地招聘,1.5-2万/月,"['3-4年经验', '大专', '招3人', '07-14发布', '五险一金', '绩效奖金', '年终奖金', '弹性工作']"
Java架构师（互联网电商方向）,深圳市远行科技股份有限公司,深圳-南山区,1.5-2.5万/月,"['5-7年经验', '本科', '招1人', '07-14发布', '五险一金', '交通补贴', '年底双薪', '年终奖金', '带薪年假', '节日福利', '生日福利', '员工旅游', '通讯补贴', '定期体检']"
Java开发工程师,易招标-互联网招投标的领导者,厦门,6-8千/月,"['1年经验', '本科', '招2人', '07-14发布', '五险一金', '节日福利', '餐饮补贴', '交通补贴', '弹性工作', '绩效奖金', '年终奖金']"
