职位,公司,地址,薪酬,标签
Java高级开发工程师,广州思酷信息科技有限公司,广州-天河区,1.5-2万/月,"['无工作经验', '大专', '招1人', '07-16发布', '五险一金', '补充医疗保险', '弹性工作', '周末双休', '节假日福利', '加班补贴', '餐饮补贴', '年终奖金', '团队氛围好', '扁平化管理']"
Java高级开发工程师,上海泉涸信息科技有限公司,异地招聘,0.8-2.5万/月,"['5-7年经验', '大专', '招若干人', '07-16发布', '五险一金', '年终奖金', '弹性工作']"
Java高级开发工程师,上海富由投资管理有限公司,上海-宝山区,1-1.5万/月,"['无工作经验', '本科', '招2人', '07-16发布']"
高级Java工程师（知库）,云宏信息科技股份有限公司,广州-天河区,1.5-2万/月,"['无工作经验', '招1人', '07-16发布', '五险一金', '通讯补贴', '专业培训', '绩效奖金', '年终奖金', '定期体检', '弹性工作', '周末双休', '带薪年假']"
JAVA软件工程师,武汉英思博锐科技有限公司,武汉-汉阳区,7-9千/月,"['3-4年经验', '大专', '招3人', '07-16发布', '五险一金', '绩效奖金', '周末双休', '年终奖金']"
Java开发工程师,杭州艾格财务咨询有限公司,杭州-江干区,0.6-1万/月,"['无工作经验', '招1人', '07-16发布', '弹性工作', '带薪年假', '五险一金', '绩效奖金', '全勤奖', '节日福利', '交通补贴', '专业培训', '加班补贴', '通讯补贴']"
Java高级开发工程师,广东芯智慧科技有限公司,广州-海珠区,1-1.8万/月,"['3-4年经验', '本科', '招3人', '07-16发布', '央企背景', '带薪假期', '周末双休', '员工旅游', '年终奖金', '五险一金', '专业培训']"
JAVA后端工程师,企极科技（深圳）有限公司,沈阳-和平区,5-8千/月,"['3-4年经验', '本科', '招3人', '07-16发布', '五险', '周末双休', '带薪年假']"
Java开发工程师,上海期货信息技术有限公司,上海-浦东新区,,"['3-4年经验', '本科', '招1人', '07-16发布']"
Java初级人员,北京安信微网络科技有限公司,北京-朝阳区,4.5-5千/月,"['无工作经验', '高中', '招1人', '07-16发布', '员工旅游', '专业培训', '弹性工作', '周末双休', '五险']"
高级Java研发,杭州艾拓科技有限公司,武汉-武昌区,0.8-1.5万/月,"['2年经验', '本科', '招1人', '07-16发布', '五险一金', '员工旅游', '通讯补贴', '绩效奖金', '年终奖金', '股票期权', '专业培训', '出国机会', '定期体检']"
