函数,运行时间,线程数
ipToFile,1.4204332828521729,
getIPool,0.00125885009765625,
getCleanProxies,66.36304807662964,30
get_jobObjectList,5.584347724914551,
pack_tag,30.93304181098938,20
save_to_csv,0.003682374954223633,
,,
getCleanProxies,155.19299697875977,40
ipToFile,1.130948781967163,
getIPool,0.001119375228881836,
getCleanProxies,59.70063591003418,40
ipToFile,1.9825055599212646,
getIPool,0.001104593276977539,
getCleanProxies,294.6838870048523,45
ipToFile,1.213634729385376,
getIPool,0.0011107921600341797,
ipToFile,1.2495625019073486,
getIPool,0.003818035125732422,
getCleanProxies,54.625980854034424,40
ipToFile,1.2616333961486816,
getIPool,0.0010991096496582031,
getCleanProxies,51.66995906829834,40
get_jobObjectList,3.971304416656494,
ipToFile,0.9856326580047607,
getIPool,0.0010793209075927734,
getCleanProxies,64.95266032218933,40
ipToFile,0.9538402557373047,
getIPool,0.0010364055633544922,
getCleanProxies,68.5388913154602,40
get_jobObjectList,2.9756674766540527,
getCleanProxies,76.94938349723816,35
get_jobObjectList,4.759617328643799,
ipToFile,1.1017653942108154,
getIPool,0.0010933876037597656,
getCleanProxies,66.80325078964233,35
get_jobObjectList,3.3808345794677734,
ipToFile,1.2658076286315918,
getIPool,0.0013554096221923828,
getCleanProxies,47.91749453544617,45
get_jobObjectList,6.4235241413116455,
pack_tag,31.337960958480835,20
save_to_csv,0.0009160041809082031,
,,
ipToFile,1.3187663555145264,
getIPool,0.0011136531829833984,
getCleanProxies,44.34350085258484,50
get_jobObjectList,2.687448024749756,
pack_tag,39.34664845466614,25
save_to_csv,0.0012445449829101562,
,,
getCleanProxies,51.378546476364136,50
get_jobObjectList,5.481482267379761,
pack_tag,48.24278211593628,23
save_to_csv,0.0016438961029052734,
,,
getCleanProxies,46.23639678955078,45
get_jobObjectList,3.665215492248535,
pack_tag,31.829605102539062,20
save_to_csv,0.0015544891357421875,
,,
get_jobObjectList,6.893205404281616,
get_jobObjectList,7.520569801330566,
get_jobObjectList,9.30985975265503,
get_jobObjectList,11.011313199996948,
getTag,4.740204572677612,
getTag,5.513719320297241,
getTag,5.818098783493042,
getTag,6.88829231262207,
getTag,10.238397598266602,
getTag,11.637255430221558,
getTag,12.220146656036377,
getTag,11.37673044204712,
getTag,13.272286176681519,
getTag,16.65747570991516,
getTag,16.712443113327026,
getTag,9.223469495773315,
getTag,17.31639528274536,
getTag,15.904061079025269,
getTag,18.216926097869873,
getTag,16.551551818847656,
getTag,13.333911418914795,
getTag,19.909645557403564,
getTag,19.603631019592285,
getTag,18.90829038619995,
getTag,21.11383891105652,
getTag,21.198411464691162,
getTag,21.983914375305176,
getTag,20.362223386764526,
getTag,22.25238609313965,
getTag,24.32227873802185,
getTag,22.781421661376953,
getTag,25.716374397277832,
getTag,24.564050674438477,
getTag,27.2043240070343,
getTag,24.175959587097168,
getTag,27.78631615638733,
getTag,23.1722412109375,
getTag,25.492380380630493,
getTag,25.99263048171997,
getTag,30.095058917999268,
getTag,31.483208179473877,
getTag,9.956246614456177,
getTag,33.24911403656006,
getTag,28.24698567390442,
getTag,35.14037752151489,
getTag,36.0144579410553,
getTag,25.62601327896118,
getTag,37.715835094451904,
getTag,29.900251865386963,
getTag,35.55186867713928,
getTag,32.641085386276245,
getTag,36.74507212638855,
getTag,38.3681697845459,
getTag,25.94230628013611,
getTag,38.568180561065674,
getTag,34.27072286605835,
getTag,39.29670810699463,
getTag,34.56664514541626,
getTag,33.77232813835144,
getTag,20.38775897026062,
getTag,39.532559871673584,
getTag,37.844111919403076,
getTag,39.82054948806763,
getTag,34.49181008338928,
getTag,40.710874795913696,
getTag,39.04824233055115,
getTag,43.812584400177,
getTag,44.87897539138794,
getTag,36.848424196243286,
getTag,46.0563645362854,
getTag,28.649476766586304,
getTag,41.14832401275635,
getTag,43.68162989616394,
getTag,27.140655755996704,
getTag,46.44201874732971,
getTag,35.84480595588684,
getTag,27.603920936584473,
getTag,32.812171459198,
getTag,45.65491199493408,
getTag,37.60418629646301,
getTag,32.50247144699097,
getTag,50.96764659881592,
getTag,49.14109969139099,
getTag,29.755017042160034,
getTag,49.90098285675049,
getTag,26.768388032913208,
getTag,47.36526441574097,
getTag,40.95777153968811,
getTag,44.41181421279907,
getTag,38.05425524711609,
getTag,53.566272258758545,
getTag,39.47940683364868,
getTag,29.30685567855835,
getTag,39.61660623550415,
getTag,57.78869318962097,
getTag,20.60450291633606,
getTag,28.78476595878601,
getTag,44.09628510475159,
getTag,58.61710977554321,
getTag,28.583195447921753,
getTag,45.11947226524353,
getTag,19.928126096725464,
getTag,28.630982398986816,
getTag,67.95288300514221,
getTag,29.995791912078857,
getTag,27.691871881484985,
getTag,48.64259910583496,
getTag,65.18450427055359,
getTag,47.62044668197632,
getTag,34.8338508605957,
getTag,24.110317707061768,
getTag,26.090405702590942,
getTag,24.923712015151978,
getTag,46.20754337310791,
getTag,30.257555961608887,
getTag,34.828859090805054,
getTag,48.16393327713013,
getTag,61.81518602371216,
getTag,36.247563123703,
getTag,22.552034378051758,
getTag,76.921546459198,
getTag,28.059850215911865,
getTag,45.25700068473816,
getTag,51.26841115951538,
getTag,23.817016124725342,
getTag,47.93638038635254,
getTag,39.14442229270935,
getTag,22.07473587989807,
getTag,79.99631929397583,
getTag,27.842254400253296,
getTag,53.32463979721069,
getTag,78.30499410629272,
getTag,36.897841453552246,
getTag,39.79153394699097,
getTag,38.79575324058533,
getTag,45.895692110061646,
getTag,59.15175771713257,
getTag,34.07239890098572,
getTag,39.33964657783508,
getTag,50.20775604248047,
getTag,76.87079620361328,
getTag,53.403916120529175,
getTag,31.77538251876831,
getTag,32.961899757385254,
getTag,41.153547286987305,
getTag,40.85181951522827,
getTag,34.43583416938782,
get_jobObjectList,97.12075304985046,
getTag,39.70754909515381,
getTag,46.664849519729614,
getTag,38.643356800079346,
getTag,88.97904086112976,
getTag,55.05975556373596,
getTag,51.79581618309021,
getTag,40.04080033302307,
getTag,54.979445695877075,
getTag,43.37561249732971,
getTag,50.94758439064026,
getTag,60.79598116874695,
getTag,40.77604341506958,
getTag,40.17761540412903,
getTag,91.15658211708069,
getTag,33.03478121757507,
getTag,59.847193002700806,
getTag,32.663610219955444,
getTag,43.21760392189026,
getTag,54.15165376663208,
getTag,26.623809337615967,
getTag,20.555095672607422,
getTag,25.77157235145569,
getTag,64.4245092868805,
getTag,56.0171217918396,
getTag,55.30975556373596,
getTag,42.61971354484558,
getTag,20.64359712600708,
getTag,20.65341877937317,
getTag,40.1508092880249,
getTag,26.694230794906616,
getTag,32.28759813308716,
getTag,24.222046613693237,
getTag,35.24241662025452,
getTag,93.82510924339294,
getTag,54.655200719833374,
getTag,21.715189456939697,
getTag,29.31141972541809,
getTag,23.867233753204346,
getTag,31.22634220123291,
getTag,37.228700160980225,
getTag,71.92424082756042,
getTag,59.19710445404053,
getTag,19.464261770248413,
getTag,41.065940618515015,
getTag,32.806479692459106,
getTag,25.223201751708984,
getTag,28.090375900268555,
getTag,45.59207201004028,
pack_tag,104.22664737701416,20
getTag,27.710928678512573,
getTag,37.686296701431274,
pack_tag,107.21866798400879,20
getTag,53.87480115890503,
getTag,31.39177680015564,
getTag,39.585525035858154,
getTag,26.021292686462402,
getTag,19.797559022903442,
getTag,44.50535202026367,
getTag,84.10085988044739,
getTag,106.45801115036011,
pack_tag,214.31848526000977,20
pack_tag,226.75797176361084,20
get_jobObjectList,3.4081733226776123,
get_jobObjectList,3.4165868759155273,
get_jobObjectList,3.4372293949127197,
getTag,5.250311613082886,
getTag,5.424526214599609,
getTag,9.682681322097778,
getTag,28.869701147079468,
getTag,17.131437301635742,
getTag,24.727478504180908,
getTag,23.477177381515503,
getTag,14.139711380004883,
getTag,39.23452186584473,
getTag,21.011000871658325,
getTag,56.12012195587158,
getTag,19.211857557296753,
getTag,36.70381283760071,
getTag,18.678226470947266,
getTag,19.37833070755005,
getTag,30.40811586380005,
getTag,34.455220460891724,
getTag,21.89129948616028,
getTag,21.43700122833252,
getTag,57.23215436935425,
